Variant,RadialStiffness,LateralStiffness,TangentialStiffness,TorsionalStiffness,CorneringStiffness,SelfAligningTorque
IP 0.75 + BA 0.9 + CS 0.9 + EPI 0.9 + Mat 1.1,835.00,768.00,1282.00,133.00,92.00,73.00
IP 0.75 + BA 0.9 + CS 0.9 + EPI 1.1 + Mat 0,837.00,751.00,1286.00,148.00,81.00,76.00
IP 0.75 + BA 0.9 + CS 0.9 + EPI 1.1 + Mat 0.9,820.00,750.00,1297.00,141.00,85.00,81.00
IP 0.75 + BA 0.9 + CS 0.9 + EPI 1.1 + Mat 1.1,820.00,757.00,1285.00,155.00,86.00,70.00
IP 0.75 + BA 0.9 + CS 1.1 + EPI 0 + Mat 0,835.00,772.00,1298.00,137.00,97.00,85.00
IP 0.75 + BA 0.9 + CS 1.1 + EPI 0 + Mat 0.9,826.00,778.00,1287.00,155.00,87.00,79.00
IP 0.75 + BA 0.9 + CS 1.1 + EPI 0 + Mat 1.1,825.00,775.00,1289.00,141.00,98.00,72.00
IP 0.75 + BA 0.9 + CS 1.1 + EPI 0.9 + Mat 0,832.00,764.00,1286.00,154.00,109.00,85.00
IP 0.75 + BA 0.9 + CS 1.1 + EPI 0.9 + Mat 0.9,827.00,764.00,1292.00,133.00,84.00,76.00
IP 0.75 + BA 0.9 + CS 1.1 + EPI 0.9 + Mat 1.1,837.00,773.00,1293.00,149.00,104.00,85.00
IP 0.75 + BA 0.9 + CS 1.1 + EPI 1.1 + Mat 0,828.00,760.00,1287.00,160.00,97.00,75.00
IP 0.75 + BA 0.9 + CS 1.1 + EPI 1.1 + Mat 0.9,840.00,776.00,1296.00,151.00,89.00,72.00
IP 0.75 + BA 0.9 + CS 1.1 + EPI 1.1 + Mat 1.1,825.00,768.00,1283.00,146.00,82.00,74.00
IP 0.75 + BA 1.1 + CS 0 + EPI 0 + Mat 0,832.00,771.00,1280.00,140.00,83.00,76.00
IP 0.75 + BA 1.1 + CS 0 + EPI 0 + Mat 0.9,838.00,769.00,1294.00,147.00,108.00,70.00
IP 0.75 + BA 1.1 + CS 0 + EPI 0 + Mat 1.1,821.00,756.00,1292.00,153.00,106.00,73.00
IP 0.75 + BA 1.1 + CS 0 + EPI 0.9 + Mat 0,829.00,769.00,1297.00,141.00,94.00,75.00
IP 0.75 + BA 1.1 + CS 0 + EPI 0.9 + Mat 0.9,828.00,769.00,1281.00,149.00,94.00,80.00
IP 0.75 + BA 1.1 + CS 0 + EPI 0.9 + Mat 1.1,833.00,776.00,1282.00,155.00,99.00,77.00
